"fyear","act","at","bkvlps","ceq","csho","dltt","emp","lct","ni","oibdp","rdip","sale","xad","xsga","prcc_f","busdesc","conml","gsubind","sic"
"69",2017,4247.852,12516.911,22.795,6125.774,268.733,2604.613,129,2964.878,1538.96,2436.849,0,23470.967,68.8,5188.741,103.12,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States.","Dollar General Corporation",25503020,5331
"70",2018,4663.02,13204.038,24.7288,6417.393,259.511,2862.74,135,3015.857,1589.472,2604.24,0,25625.043,70.5,5653.764,115.43,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States.","Dollar General Corporation",25503020,5331
"71",2019,5177.868,22825.084,26.604,6702.5,251.936,10731.121,143,4543.56,1712.555,2838.108,0,27753.973,71,6155.757,153.41,"Dollar General Corporation, a discount retailer, provides various merchandise products in the southern, southwestern, Midwestern, and eastern United States.","Dollar General Corporation",25503020,5331
"72",2011,760.5,1839.6,14.9612,1158,77.4,0,31,382.2,170.5,391.9,0,2914,NA,839.8,32.32,"Ascena Retail Group, Inc., through its subsidiaries, operates as a specialty retailer of apparel for women and tween girls in the United States, Canada, and Puerto Rico. The company operates through four segments: Premium Fashion, Plus Fashion, Kids Fashion, and Value Fashion.","Ascena Retail Group Inc",25504010,5621
"73",2012,1040.2,2807.1,8.6621,1340.9,154.8,322.4,46,685.6,162.2,423.9,0,3353.3,NA,1454.7,18.34,"Ascena Retail Group, Inc., through its subsidiaries, operates as a specialty retailer of apparel for women and tween girls in the United States, Canada, and Puerto Rico. The company operates through four segments: Premium Fashion, Plus Fashion, Kids Fashion, and Value Fashion.","Ascena Retail Group Inc",25504010,5621
"74",2013,942.8,2871.7,9.758,1556.4,159.5,135,48,652.6,151.3,495.8,0,4714.9,169.1,2172.2,19.09,"Ascena Retail Group, Inc., through its subsidiaries, operates as a specialty retailer of apparel for women and tween girls in the United States, Canada, and Puerto Rico. The company operates through four segments: Premium Fashion, Plus Fashion, Kids Fashion, and Value Fashion.","Ascena Retail Group Inc",25504010,5621
"75",2014,923.6,3123.8,10.7398,1737.7,161.8,172,48,631.9,133.4,451.4,0,4790.6,160.1,2208.6,16.06,"Ascena Retail Group, Inc., through its subsidiaries, operates as a specialty retailer of apparel for women and tween girls in the United States, Canada, and Puerto Rico. The company operates through four segments: Premium Fashion, Plus Fashion, Kids Fashion, and Value Fashion.","Ascena Retail Group Inc",25504010,5621
"76",2015,949.9,2915.7,9.3021,1518.1,163.2,116,48,717.7,-236.8,374.1,0,4802.9,176.7,2296.3,12.52,"Ascena Retail Group, Inc., through its subsidiaries, operates as a specialty retailer of apparel for women and tween girls in the United States, Canada, and Puerto Rico. The company operates through four segments: Premium Fashion, Plus Fashion, Kids Fashion, and Value Fashion.","Ascena Retail Group Inc",25504010,5621
"77",2016,1240,5506.3,9.5947,1863.3,194.2,1594.5,66,1013.7,-11.9,656.8,0,6995.4,270.6,3398.8,8.13,"Ascena Retail Group, Inc., through its subsidiaries, operates as a specialty retailer of apparel for women and tween girls in the United States, Canada, and Puerto Rico. The company operates through four segments: Premium Fashion, Plus Fashion, Kids Fashion, and Value Fashion.","Ascena Retail Group Inc",25504010,5621
"78",2017,1122.3,3871.5,4.2081,821,195.1,1494.1,64,937.1,-1067.3,529.6,0,6649.8,269.1,3332,2.34,"Ascena Retail Group, Inc., through its subsidiaries, operates as a specialty retailer of apparel for women and tween girls in the United States, Canada, and Puerto Rico. The company operates through four segments: Premium Fashion, Plus Fashion, Kids Fashion, and Value Fashion.","Ascena Retail Group Inc",25504010,5621
